,NatureAccident,ClassificationOfAccident,Fatal,Grevious,Minor,Injured,AccYear,AccDay
310,7,2,2,6,1,1,2019,9
311,3,4,2,7,5,4,2019,9
312,3,1,2,7,2,2,2019,9
313,3,2,1,1,2,5,2019,9
314,2,3,1,3,1,5,2019,9
315,6,2,4,6,1,2,2019,31
316,3,5,1,8,3,2,2019,31
317,2,2,4,7,4,5,2019,31
318,5,1,2,9,2,3,2019,31
319,6,3,4,3,2,3,2019,31
320,6,3,4,3,2,3,2019,31
321,6,3,4,3,2,3,2019,31
322,4,1,1,9,2,5,2019,30
323,4,1,3,9,5,5,2019,30
324,6,4,2,10,2,1,2019,30
325,5,4,4,10,2,5,2019,30
326,3,5,0,6,5,1,2019,30
327,1,3,0,6,2,5,2019,30
328,1,4,2,1,2,4,2019,29
329,5,4,0,3,5,4,2019,29
330,3,3,0,7,1,4,2019,29
331,7,1,4,4,5,1,2019,29
332,2,5,4,1,3,5,2019,29
333,6,1,0,2,4,1,2019,28
334,6,4,1,10,5,2,2019,28
335,2,4,4,9,3,5,2019,28
336,3,3,1,1,5,2,2019,27
337,5,2,4,6,5,5,2019,27
338,3,3,3,3,3,4,2019,27
339,2,5,3,10,2,2,2019,27
340,7,1,4,4,1,5,2019,27
341,7,2,1,1,4,4,2019,26
342,4,2,4,1,3,3,2019,25
343,6,3,3,2,2,5,2019,25
344,5,5,4,1,4,4,2019,25
345,1,2,4,4,5,5,2019,25
346,1,2,4,4,5,5,2019,25
347,1,2,4,4,5,5,2019,25
348,1,3,1,3,5,5,2019,24
349,8,1,4,4,1,3,2019,24
350,3,3,2,1,2,2,2019,24
351,7,2,1,1,1,3,2019,24
352,1,2,1,1,5,1,2019,24
353,6,1,4,9,3,1,2019,24
354,1,2,2,3,5,3,2019,24
355,1,5,2,1,2,4,2019,24
356,5,3,3,9,2,4,2019,24
357,5,3,3,9,2,4,2019,24
358,5,3,3,9,2,4,2019,24
359,8,1,3,4,3,2,2019,23
360,6,2,4,2,5,1,2019,23
361,7,1,0,9,2,4,2019,23
362,3,1,3,8,3,2,2019,22
363,8,3,0,7,3,2,2019,22
364,8,3,0,7,3,2,2019,22
365,8,3,0,7,3,2,2019,22
366,4,2,3,7,4,2,2019,22
367,7,5,0,1,4,3,2019,22
368,7,5,0,1,4,3,2019,22
369,7,5,0,1,4,3,2019,22
370,8,3,2,3,3,5,2019,21
371,8,3,0,1,2,1,2019,21
372,6,1,3,7,5,3,2019,21
373,2,5,0,4,5,3,2019,21
374,5,1,3,3,3,2,2019,21
375,4,3,2,2,2,5,2019,21
376,5,3,4,6,4,1,2019,20
377,8,2,0,1,4,5,2019,20
378,6,1,3,6,3,5,2019,20
379,3,3,0,6,2,1,2019,20
380,4,5,0,1,1,1,2019,20
381,8,1,0,3,2,4,2019,20
382,6,2,4,4,5,1,2019,19
383,6,2,3,2,1,3,2019,19
384,2,4,1,3,4,1,2019,19
385,6,5,2,9,3,4,2019,19
386,1,5,0,10,1,2,2019,19
387,5,3,2,7,3,1,2019,19
388,5,5,1,6,2,4,2019,18
389,6,2,0,1,2,5,2019,18
390,6,5,2,10,3,1,2019,18
391,8,5,2,6,2,2,2019,18
392,2,3,2,3,2,1,2019,18
393,6,5,1,3,4,1,2019,18
394,1,3,1,8,4,5,2019,17
395,5,5,4,6,1,5,2019,17
396,3,1,0,8,5,5,2019,17
397,3,1,2,2,5,2,2019,17
398,3,2,0,10,2,4,2019,16
399,7,2,3,2,5,2,2019,16
400,3,2,4,6,5,4,2019,16
401,6,1,2,1,1,4,2019,16
402,6,1,2,1,1,4,2019,16
403,8,4,4,6,5,4,2019,16
404,6,1,2,1,1,4,2019,16
405,7,5,3,10,3,1,2019,15
406,8,4,3,1,1,3,2019,15
407,6,5,2,8,3,3,2019,15
408,6,5,2,8,3,3,2019,15
409,6,5,2,8,3,3,2019,15
410,7,2,4,9,1,4,2019,14
411,4,5,3,2,1,5,2019,14
412,7,3,2,10,2,1,2019,14
413,3,5,2,3,2,5,2019,13
414,3,2,3,5,1,1,2019,13
415,6,2,4,9,3,4,2019,13
416,8,4,4,10,5,3,2019,13
417,3,2,0,5,4,5,2019,13
418,7,1,4,8,3,1,2019,13
419,4,2,1,9,2,5,2019,8
420,4,5,1,2,4,2,2019,8
421,6,2,2,10,5,5,2019,8
422,6,2,2,10,5,5,2019,8
423,6,2,2,10,5,5,2019,8
424,1,1,0,10,2,3,2019,8
425,4,3,0,6,2,5,2019,8
426,2,4,2,6,5,2,2019,8
427,5,2,4,5,4,3,2019,8
428,4,4,2,4,5,3,2019,8
429,3,1,4,6,1,2,2019,8
430,3,3,2,3,4,3,2019,8
431,7,3,1,7,2,5,2019,8
432,2,5,0,2,3,5,2019,8
433,3,5,2,8,2,3,2019,8
434,2,2,3,3,1,3,2019,8
435,1,5,4,6,2,5,2019,8
436,7,5,1,10,3,2,2019,8
437,7,4,1,1,1,1,2019,8
438,7,4,1,1,1,1,2019,8
439,6,1,2,9,1,5,2019,8
440,7,1,4,9,2,5,2019,8
441,8,2,1,10,3,3,2019,8
442,2,3,4,3,1,5,2019,8
443,5,1,1,3,4,3,2019,8
444,8,2,1,10,3,3,2019,8
445,2,3,4,3,1,5,2019,8
446,5,1,1,3,4,3,2019,8
447,8,2,1,10,3,3,2019,8
448,2,3,4,3,1,5,2019,8
449,5,1,1,3,4,3,2019,8
450,1,3,3,7,3,5,2019,8
451,7,2,1,9,4,4,2019,8
452,2,5,0,3,3,2,2019,8
453,7,2,2,1,2,3,2019,8
454,7,2,2,1,2,3,2019,8
455,3,4,3,8,2,4,2019,8
456,3,4,3,8,2,4,2019,8
457,3,4,3,8,2,4,2019,8
458,8,2,3,3,2,5,2019,8
459,3,2,1,8,3,5,2019,8
460,2,1,0,7,1,3,2019,8
461,1,1,4,4,1,5,2019,8
462,3,5,4,5,2,1,2019,8
463,7,4,3,9,5,3,2019,8
464,1,1,4,4,1,5,2019,8
465,1,1,4,4,1,5,2019,8
466,1,2,3,9,3,3,2019,8
467,7,3,0,7,2,1,2019,8
468,8,2,1,6,3,3,2019,8
469,6,2,4,4,2,1,2019,8
470,1,5,2,3,5,4,2019,8
471,8,1,0,8,1,4,2019,8
472,1,5,2,3,5,4,2019,8
473,8,1,0,8,1,4,2019,8
474,8,1,1,4,1,2,2019,8
475,1,5,1,4,4,5,2019,8
476,8,1,0,4,5,3,2019,8
477,8,2,4,9,5,3,2019,8
478,7,5,0,2,1,4,2019,8
479,4,1,0,5,2,2,2019,8
480,2,2,4,9,4,3,2019,8
481,2,2,0,9,3,3,2019,8
482,4,5,3,6,1,1,2019,8
483,3,1,4,6,3,5,2019,8
484,2,3,3,4,1,5,2019,8
485,5,1,1,7,3,3,2019,8
486,6,4,3,1,3,2,2019,8
487,8,4,3,2,1,5,2019,8
488,7,3,2,2,4,5,2019,8
489,3,5,0,9,1,1,2019,8
490,4,3,1,8,3,4,2019,8
491,6,5,4,4,5,2,2019,8
492,6,2,1,10,2,4,2019,8
493,7,5,3,4,2,2,2019,31
494,1,1,0,9,2,2,2019,31
495,1,1,0,9,2,2,2019,31
496,1,1,0,9,2,2,2019,31
497,2,5,2,3,1,1,2019,31
498,5,3,2,2,2,1,2019,31
499,4,3,1,7,2,2,2019,30
500,4,5,0,8,5,4,2019,30
501,4,2,1,4,5,1,2019,30
502,8,3,3,4,4,3,2019,30
503,3,1,0,4,5,2,2019,30
504,7,1,1,2,3,4,2019,30
505,7,1,1,2,3,4,2019,30
506,1,2,0,8,2,1,2019,30
507,1,2,0,8,2,1,2019,30
508,7,5,0,8,4,2,2019,29
509,7,5,3,7,1,2,2019,29
510,6,1,2,1,5,1,2019,29
511,1,5,1,7,4,3,2019,29
512,3,3,0,2,5,5,2019,29
513,8,2,4,2,2,2,2019,29
514,2,3,3,9,5,2,2019,29
515,2,1,0,6,3,2,2019,29
516,2,4,2,1,5,1,2019,28
517,5,4,2,1,2,5,2019,28
518,1,4,3,8,3,4,2019,28
519,8,4,1,5,2,3,2019,28
520,2,2,4,10,3,3,2019,28
521,6,5,2,9,1,3,2019,28
522,5,5,1,6,1,4,2019,27
523,3,5,2,1,2,4,2019,27
524,7,3,1,1,2,5,2019,27
525,7,3,1,1,2,5,2019,27
526,7,3,1,1,2,5,2019,27
527,8,5,0,7,4,2,2019,27
528,7,2,1,8,4,3,2019,27
529,4,4,2,5,2,5,2019,26
530,8,2,1,2,1,4,2019,26
531,8,2,1,2,1,4,2019,26
532,8,2,1,2,1,4,2019,26
533,6,5,3,5,1,3,2019,26
534,5,3,4,9,3,5,2019,26
535,5,3,4,9,3,5,2019,26
536,5,3,4,9,3,5,2019,26
537,1,5,4,2,2,5,2019,25
538,7,5,4,2,2,3,2019,25
539,7,4,2,7,2,5,2019,25
540,8,1,1,1,3,5,2019,25
541,5,2,1,5,1,2,2019,25
542,7,3,2,5,3,2,2019,25
543,4,4,0,10,3,2,2019,25
544,4,4,0,10,3,2,2019,25
545,4,4,0,10,3,2,2019,25
546,7,1,2,6,3,5,2019,24
547,6,2,4,2,5,2,2019,24
548,6,5,4,7,1,5,2019,24
549,6,4,0,7,1,2,2019,24
550,6,4,0,7,1,2,2019,24
551,4,4,3,7,3,5,2019,23
552,7,2,4,1,4,1,2019,23
553,6,5,1,9,5,3,2019,23
554,3,5,4,8,2,1,2019,23
555,3,5,4,8,2,1,2019,23
556,3,5,4,8,2,1,2019,23
557,6,1,1,6,5,2,2019,22
558,6,1,4,8,1,2,2019,22
559,8,5,1,2,5,3,2019,21
560,1,3,2,7,1,5,2019,21
561,3,1,1,2,3,3,2019,21
562,4,5,1,1,1,2,2019,20
563,8,4,4,5,4,4,2019,20
564,8,4,3,8,4,2,2019,20
565,1,3,2,10,2,3,2019,20
566,3,3,2,6,4,3,2019,20
567,4,3,0,3,2,4,2019,20
568,7,3,2,7,4,1,2019,20
569,6,4,0,8,5,5,2019,20
570,6,4,0,8,5,5,2019,20
571,6,4,0,8,5,5,2019,20
572,2,1,2,2,2,1,2019,20
573,2,1,2,2,2,1,2019,20
574,1,1,1,3,1,3,2019,19
575,6,5,2,8,2,3,2019,19
576,1,3,2,1,3,5,2019,19
577,3,2,4,8,2,1,2019,19
578,3,4,0,10,4,1,2019,19
579,5,3,4,2,4,5,2019,19
580,8,4,3,10,2,3,2019,18
581,8,3,0,3,1,2,2019,18
582,1,2,0,10,1,1,2019,18
583,5,3,2,10,4,5,2019,18
584,5,5,2,2,5,1,2019,17
585,6,4,2,8,1,1,2019,17
586,6,2,2,3,4,1,2019,17
587,6,2,2,3,4,1,2019,17
588,6,2,2,3,4,1,2019,17
589,3,4,4,8,1,3,2019,17
590,8,2,1,2,4,5,2019,16
591,2,1,2,5,3,4,2019,16
592,2,1,2,5,3,4,2019,16
593,2,1,2,5,3,4,2019,16
594,5,2,4,5,4,3,2019,15
595,7,3,3,8,4,1,2019,15
596,4,2,0,7,2,3,2019,15
597,2,3,3,6,4,5,2019,15
598,4,5,2,3,4,5,2019,15
599,2,2,2,1,3,3,2019,15
600,4,2,4,7,4,1,2019,15
601,8,2,0,4,5,1,2019,14
602,5,5,4,10,5,3,2019,14
603,6,3,4,7,1,1,2019,14
604,6,3,4,7,1,1,2019,14
605,6,3,4,7,1,1,2019,14
606,2,2,0,1,1,4,2019,13
607,8,4,0,6,2,5,2019,13
608,4,3,1,2,4,2,2019,13
609,7,5,2,8,2,2,2019,13
610,1,5,0,7,3,2,2019,13
611,3,5,0,5,2,3,2019,13
612,6,4,1,1,1,2,2019,13
613,1,5,0,7,3,2,2019,13
614,3,5,0,5,2,3,2019,13
615,6,4,1,1,1,2,2019,13
616,3,5,0,5,2,3,2019,13
617,6,4,1,1,1,2,2019,13
618,8,2,3,1,2,3,2019,7
619,1,4,3,3,4,5,2019,7
620,8,1,2,5,3,3,2019,7
621,2,3,0,6,3,5,2019,7
622,5,3,2,7,2,2,2019,7
623,2,4,2,2,5,4,2019,7
624,2,4,1,8,2,5,2019,7
625,1,2,3,5,1,5,2019,7
626,6,5,3,8,2,1,2019,7
627,6,5,3,8,2,1,2019,7
628,6,5,3,8,2,1,2019,7
629,5,3,0,4,5,1,2019,7
630,3,2,4,9,1,2,2019,7
631,2,4,2,6,2,2,2019,7
632,5,1,0,10,5,4,2019,7
633,6,2,1,10,2,3,2019,7
634,2,4,4,3,2,4,2019,7
635,2,4,4,3,2,4,2019,7
636,7,1,2,9,1,1,2019,7
637,8,2,2,9,1,4,2019,7
638,6,1,2,3,2,2,2019,7
639,4,4,3,6,4,4,2019,7
640,7,4,3,7,4,1,2019,7
641,3,3,2,7,3,5,2019,7
642,3,1,3,6,2,1,2019,7
643,3,4,4,1,3,2,2019,7
644,2,2,1,9,4,3,2019,7
645,7,2,1,1,1,5,2019,7
646,2,3,0,6,3,3,2019,7
647,7,4,1,6,1,5,2019,7
648,7,4,1,6,1,5,2019,7
649,7,2,2,8,5,5,2019,7
650,6,4,4,1,2,5,2019,7
651,8,3,4,3,5,3,2019,7
652,6,1,4,4,2,3,2019,7
653,6,2,0,10,4,5,2019,7
654,1,2,3,8,3,4,2019,7
655,6,2,0,10,4,5,2019,7
656,1,2,3,8,3,4,2019,7
657,6,2,0,10,4,5,2019,7
658,1,2,3,8,3,4,2019,7
659,8,1,3,4,2,5,2019,7
660,3,5,1,1,4,5,2019,7
661,8,2,4,4,3,4,2019,7
662,6,1,3,2,1,4,2019,7
663,3,1,0,3,4,1,2019,7
664,3,1,0,3,4,1,2019,7
665,3,1,0,3,4,1,2019,7
666,1,4,1,8,1,1,2019,7
667,7,5,2,10,2,2,2019,7
668,5,4,4,10,1,3,2019,7
669,4,3,2,4,5,4,2019,7
670,4,3,2,4,5,4,2019,7
671,4,3,2,4,5,4,2019,7
672,7,5,3,10,1,3,2019,7
673,3,1,3,6,3,5,2019,7
674,4,3,1,4,5,5,2019,7
675,6,1,2,7,1,3,2019,7
676,6,5,0,4,4,3,2019,7
677,6,5,0,4,4,3,2019,7
678,2,3,1,4,2,2,2019,7
679,6,3,2,9,5,5,2019,7
680,2,1,1,5,4,3,2019,30
681,4,5,3,2,4,4,2019,30
682,4,5,3,2,4,4,2019,30
683,6,2,0,7,2,2,2019,30
684,4,5,3,2,4,4,2019,30
685,3,5,0,3,5,2,2019,29
686,2,5,3,2,1,4,2019,29
687,6,3,2,6,1,1,2019,29
688,4,3,3,9,1,3,2019,29
689,4,4,1,6,3,2,2019,29
690,7,3,4,1,5,1,2019,29
691,6,2,2,1,1,5,2019,28
692,1,3,4,5,3,1,2019,28
693,8,3,2,6,1,2,2019,28
694,3,2,4,7,5,4,2019,28
695,1,5,2,3,2,2,2019,28
696,7,5,4,9,5,5,2019,28
697,5,3,0,8,4,4,2019,28
698,8,5,2,4,1,5,2019,27
699,2,4,2,2,3,3,2019,27
700,6,2,0,1,1,4,2019,27
701,6,4,1,10,3,1,2019,27
702,6,2,3,4,3,3,2019,27
703,6,3,4,5,3,2,2019,27
704,1,4,4,3,4,4,2019,27
705,4,2,4,8,1,2,2019,27
706,4,2,4,8,1,2,2019,27
707,5,5,0,7,5,5,2019,27
708,5,5,0,7,5,5,2019,27
709,8,4,4,5,2,2,2019,26
710,6,1,2,2,3,3,2019,26
711,2,5,0,6,5,2,2019,26
712,2,1,3,3,3,2,2019,26
713,4,4,2,5,5,4,2019,26
714,3,4,1,7,5,4,2019,25
715,6,2,1,2,4,4,2019,25
716,3,5,4,1,4,5,2019,24
717,8,5,3,5,3,3,2019,24
718,1,1,4,8,2,5,2019,24
719,1,5,4,1,2,5,2019,24
720,5,3,2,6,5,3,2019,23
721,5,4,3,1,3,2,2019,23
722,2,5,0,2,2,2,2019,23
723,2,5,0,2,2,2,2019,23
724,2,5,0,2,2,2,2019,23
725,8,5,4,5,3,5,2019,22
726,4,4,4,5,5,5,2019,22
727,1,1,1,3,1,2,2019,21
728,1,2,1,7,1,4,2019,21
729,1,2,1,7,1,4,2019,21
730,1,2,1,7,1,4,2019,21
731,7,5,4,10,2,3,2019,20
